model,model_id,model_slug,provider,reasoning_mode,task_id,sample_idx,status,finish_reason,family,source_collection,task_form,core_function,benchmark_split,input_tokens,output_tokens,reasoning_tokens,total_tokens,api_elapsed_s,task_elapsed_s,api_call_count,generated_at,meta_path
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_gain_trim_controller_e2e,0,source_selected,,end-to-end,balanced_supplement_v1,end-to-end,calibration/control,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:42:10.406443+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_gain_trim_controller_e2e/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_gain_trim_controller_tb,0,source_selected,,tb-generation,balanced_supplement_v1,tb-generation,calibration/control,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:42:10.409405+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_gain_trim_controller_tb/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_leaky_hold_bugfix,0,source_selected,,bugfix,balanced_supplement_v1,bugfix,stateful analog memory,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:42:10.412278+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_leaky_hold_bugfix/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_leaky_hold_dut,0,generated,stop,spec-to-va,balanced_supplement_v1,spec-to-va,stateful analog memory,benchmark-vabench-main-v1,2961,1519,0,4480,30.48,30.483,1,2026-05-09T03:42:41.313135+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_leaky_hold_dut/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_leaky_hold_e2e,0,generated,stop,end-to-end,balanced_supplement_v1,end-to-end,stateful analog memory,benchmark-vabench-main-v1,3275,501,0,3776,8.542,8.546,1,2026-05-09T03:42:19.997782+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_leaky_hold_e2e/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_leaky_hold_tb,0,source_selected,,tb-generation,balanced_supplement_v1,tb-generation,stateful analog memory,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:42:11.822168+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_leaky_hold_tb/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_lock_detector_bugfix,0,source_selected,,bugfix,original92_taskform_completion_v1,bugfix,calibration/control,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:42:11.825459+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_lock_detector_bugfix/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_lock_detector_dut,0,source_selected,,spec-to-va,original92_taskform_completion_v1,spec-to-va,calibration/control,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:42:11.828491+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_lock_detector_dut/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_lock_detector_e2e,0,source_selected,,end-to-end,original92_taskform_completion_v1,end-to-end,calibration/control,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:42:11.832814+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_lock_detector_e2e/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_lock_detector_tb,0,generated,stop,tb-generation,original92_taskform_completion_v1,tb-generation,calibration/control,benchmark-vabench-main-v1,2534,262,0,2796,5.668,5.671,1,2026-05-09T03:42:17.676919+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_lock_detector_tb/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_offset_calibration_fsm_bugfix,0,source_selected,,bugfix,balanced_supplement_v1,bugfix,calibration/control,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:42:12.296542+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_offset_calibration_fsm_bugfix/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_offset_calibration_fsm_dut,0,source_selected,,spec-to-va,balanced_supplement_v1,spec-to-va,calibration/control,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:42:12.301960+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_offset_calibration_fsm_dut/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_offset_calibration_fsm_e2e,0,source_selected,,end-to-end,balanced_supplement_v1,end-to-end,calibration/control,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:42:12.307591+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_offset_calibration_fsm_e2e/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_offset_calibration_fsm_tb,0,source_selected,,tb-generation,balanced_supplement_v1,tb-generation,calibration/control,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:42:12.316418+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_offset_calibration_fsm_tb/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_offset_comparator_bugfix,0,source_selected,,bugfix,original92,bugfix,threshold/static nonlinear,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:42:12.321970+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_offset_comparator_bugfix/sample_0/generation_meta.json
